iter	Passed	Remaining
0	11	11226
1	21	10881
2	32	10884
3	43	10795
4	55	10968
5	67	11138
6	79	11262
7	90	11251
8	101	11149
9	111	11050
10	122	10971
11	132	10942
12	145	11018
13	156	11012
14	167	10985
15	178	10988
16	189	10952
17	200	10956
18	213	11005
19	226	11075
20	237	11056
21	248	11062
22	261	11111
23	272	11085
24	284	11103
25	296	11094
26	307	11080
27	318	11061
28	329	11037
29	341	11046
30	352	11033
31	364	11020
32	375	11006
33	389	11072
34	403	11116
35	416	11156
36	429	11178
37	442	11204
38	455	11217
39	467	11227
40	480	11243
41	493	11255
42	506	11265
43	519	11295
44	532	11291
45	545	11316
46	558	11315
47	570	11313
48	581	11294
49	593	11273
50	605	11268
51	617	11262
52	629	11250
53	641	11233
54	653	11224
55	664	11202
56	676	11192
57	687	11172
58	699	11163
59	711	11144
60	722	11129
61	735	11125
62	748	11135
63	760	11118
64	771	11098
65	783	11094
66	794	11064
67	807	11071
68	819	11050
69	830	11039
70	843	11039
71	856	11036
72	868	11025
73	879	11008
74	891	10998
75	903	10979
76	914	10968
77	925	10941
78	937	10930
79	949	10914
80	959	10888
81	971	10876
82	983	10861
83	993	10836
84	1004	10812
85	1015	10793
86	1026	10773
87	1037	10749
88	1049	10747
89	1062	10739
90	1074	10735
91	1087	10731
92	1100	10731
93	1112	10718
94	1124	10711
95	1136	10702
96	1148	10691
97	1160	10684
98	1172	10673
99	1185	10666
100	1198	10663
101	1208	10643
102	1219	10623
103	1231	10607
104	1242	10589
105	1253	10568
106	1263	10545
107	1274	10526
108	1284	10502
109	1297	10498
110	1309	10488
111	1323	10491
112	1336	10492
113	1348	10484
114	1360	10472
115	1372	10463
116	1385	10452
117	1396	10440
118	1409	10433
119	1421	10423
120	1434	10417
121	1446	10406
122	1456	10383
123	1466	10363
124	1477	10345
125	1489	10330
126	1499	10310
127	1510	10292
128	1521	10274
129	1532	10255
130	1542	10233
131	1556	10233
132	1568	10225
133	1580	10217
134	1593	10209
135	1606	10204
136	1618	10195
137	1630	10185
138	1643	10177
139	1655	10166
140	1667	10156
141	1679	10147
142	1692	10143
143	1704	10132
144	1715	10113
145	1725	10095
146	1737	10081
147	1748	10065
148	1759	10049
149	1770	10035
150	1783	10025
151	1793	10007
152	1804	9988
153	1815	9974
154	1826	9957
155	1837	9939
156	1848	9923
157	1859	9906
158	1869	9889
159	1882	9881
160	1894	9873
161	1906	9864
162	1919	9854
163	1931	9846
164	1943	9835
165	1955	9824
166	1967	9815
167	1980	9806
168	1992	9796
169	2006	9794
170	2019	9791
171	2031	9778
172	2042	9763
173	2053	9746
174	2063	9728
175	2074	9712
176	2085	9696
177	2096	9681
178	2106	9663
179	2117	9647
180	2128	9630
181	2140	9622
182	2152	9608
183	2163	9593
184	2174	9578
185	2184	9561
186	2195	9547
187	2207	9533
188	2218	9517
189	2229	9502
190	2240	9489
191	2251	9474
192	2262	9460
193	2275	9451
194	2287	9444
195	2299	9434
196	2311	9421
197	2323	9410
198	2335	9401
199	2348	9392
200	2360	9383
201	2372	9372
202	2385	9367
203	2397	9356
204	2410	9346
205	2422	9337
206	2435	9328
207	2445	9311
208	2456	9295
209	2467	9281
210	2477	9264
211	2488	9251
212	2500	9237
213	2510	9222
214	2521	9207
215	2533	9197
216	2544	9181
217	2555	9166
218	2565	9150
219	2577	9136
220	2587	9120
221	2598	9106
222	2609	9091
223	2620	9077
224	2630	9061
225	2641	9046
226	2651	9030
227	2662	9016
228	2673	9001
229	2684	8986
230	2696	8977
231	2708	8965
232	2720	8954
233	2732	8945
234	2745	8935
235	2756	8923
236	2768	8911
237	2781	8906
238	2793	8894
239	2805	8883
240	2817	8873
241	2829	8862
242	2842	8853
243	2854	8844
244	2867	8835
245	2881	8830
246	2894	8825
247	2907	8817
248	2922	8813
249	2935	8806
250	2948	8799
251	2962	8792
252	2975	8784
253	2987	8775
254	2999	8764
255	3011	8753
256	3023	8741
257	3036	8731
258	3047	8717
259	3059	8707
260	3070	8694
261	3081	8680
262	3092	8666
263	3103	8652
264	3114	8638
265	3125	8625
266	3137	8613
267	3148	8599
268	3159	8585
269	3170	8571
270	3184	8565
271	3197	8557
272	3209	8547
273	3222	8537
274	3236	8532
275	3249	8523
276	3261	8512
277	3274	8503
278	3286	8492
279	3299	8484
280	3311	8473
281	3324	8465
282	3336	8453
283	3348	8442
284	3359	8428
285	3370	8414
286	3381	8401
287	3393	8388
288	3403	8373
289	3413	8358
290	3424	8344
291	3435	8329
292	3445	8315
293	3456	8300
294	3467	8286
295	3478	8272
296	3488	8257
297	3499	8243
298	3510	8229
299	3521	8216
300	3532	8202
301	3543	8189
302	3554	8175
303	3564	8161
304	3576	8149
305	3587	8136
306	3598	8123
307	3609	8109
308	3620	8095
309	3630	8081
310	3641	8066
311	3651	8052
312	3663	8041
313	3674	8027
314	3686	8017
315	3698	8006
316	3711	7996
317	3724	7986
318	3735	7975
319	3748	7965
320	3761	7955
321	3774	7947
322	3786	7935
323	3798	7925
324	3810	7915
325	3823	7904
326	3839	7901
327	3855	7899
328	3872	7898
329	3890	7899
330	3905	7894
331	3925	7899
332	3937	7886
333	3955	7886
334	3969	7879
335	3990	7885
336	4006	7881
337	4023	7880
338	4039	7875
339	4054	7871
340	4071	7867
341	4087	7863
342	4103	7859
343	4121	7860
344	4137	7854
345	4154	7853
346	4174	7855
347	4188	7847
348	4201	7836
349	4214	7826
350	4226	7815
351	4240	7806
352	4254	7797
353	4268	7789
354	4282	7780
355	4296	7772
356	4313	7768
357	4330	7766
358	4351	7770
359	4364	7759
360	4378	7750
361	4393	7742
362	4407	7733
363	4419	7722
364	4432	7710
365	4445	7701
366	4459	7691
367	4473	7683
368	4488	7674
369	4504	7670
370	4517	7659
371	4531	7649
372	4545	7641
373	4559	7631
374	4573	7623
375	4586	7612
376	4599	7600
377	4612	7590
378	4626	7580
379	4640	7570
380	4654	7561
381	4666	7549
382	4680	7540
383	4694	7530
384	4707	7520
385	4722	7511
386	4735	7501
387	4750	7493
388	4765	7485
389	4780	7476
390	4793	7466
391	4809	7459
392	4821	7447
393	4836	7438
394	4850	7429
395	4865	7420
396	4878	7409
397	4893	7402
398	4907	7392
399	4922	7383
400	4935	7372
401	4949	7362
402	4964	7353
403	4979	7345
404	4992	7334
405	5004	7321
406	5015	7307
407	5026	7292
408	5037	7279
409	5049	7266
410	5060	7251
411	5071	7238
412	5082	7224
413	5094	7210
414	5105	7196
415	5116	7183
416	5127	7169
417	5139	7156
418	5151	7142
419	5164	7131
420	5176	7118
421	5188	7106
422	5199	7092
423	5211	7079
424	5223	7066
425	5234	7053
426	5245	7039
427	5257	7025
428	5268	7012
429	5280	6999
430	5291	6985
431	5304	6974
432	5315	6960
433	5326	6946
434	5337	6932
435	5348	6919
436	5360	6905
437	5371	6892
438	5382	6878
439	5393	6864
440	5405	6851
441	5416	6837
442	5427	6823
443	5438	6810
444	5449	6797
445	5460	6782
446	5471	6768
447	5483	6756
448	5496	6745
449	5508	6732
450	5521	6721
451	5534	6709
452	5547	6698
453	5562	6690
454	5575	6678
455	5588	6667
456	5601	6655
457	5614	6644
458	5628	6633
459	5639	6620
460	5651	6607
461	5662	6594
462	5673	6580
463	5684	6566
464	5696	6554
465	5707	6540
466	5718	6526
467	5729	6513
468	5741	6500
469	5752	6486
470	5763	6473
471	5775	6461
472	5786	6447
473	5797	6434
474	5808	6420
475	5820	6407
476	5832	6394
477	5843	6381
478	5855	6368
479	5867	6356
480	5878	6342
481	5890	6329
482	5901	6317
483	5913	6304
484	5924	6290
485	5935	6276
486	5946	6263
487	5959	6252
488	5970	6239
489	5981	6226
490	5992	6212
491	6003	6198
492	6015	6186
493	6026	6172
494	6036	6158
495	6047	6145
496	6058	6131
497	6069	6118
498	6080	6104
499	6092	6092
500	6102	6078
501	6113	6064
502	6125	6052
503	6138	6040
504	6150	6029
505	6164	6018
506	6178	6007
507	6191	5996
508	6205	5986
509	6218	5974
510	6230	5962
511	6242	5949
512	6254	5937
513	6267	5926
514	6280	5914
515	6290	5900
516	6301	5887
517	6313	5874
518	6325	5862
519	6337	5849
520	6349	5837
521	6359	5823
522	6371	5811
523	6385	5800
524	6398	5788
525	6410	5776
526	6423	5765
527	6436	5753
528	6449	5741
529	6460	5729
530	6472	5717
531	6485	5705
532	6498	5693
533	6511	5682
534	6522	5669
535	6533	5655
536	6543	5642
537	6554	5628
538	6565	5615
539	6575	5601
540	6586	5588
541	6596	5574
542	6608	5561
543	6619	5549
544	6632	5537
545	6644	5525
546	6656	5512
547	6669	5500
548	6682	5489
549	6694	5477
550	6706	5464
551	6718	5452
552	6730	5440
553	6744	5429
554	6756	5417
555	6768	5404
556	6778	5391
557	6789	5378
558	6800	5365
559	6811	5351
560	6822	5339
561	6833	5325
562	6844	5312
563	6854	5299
564	6865	5285
565	6876	5273
566	6888	5260
567	6900	5248
568	6911	5235
569	6922	5222
570	6933	5209
571	6946	5197
572	6958	5185
573	6970	5173
574	6982	5160
575	6994	5148
576	7007	5137
577	7019	5125
578	7031	5112
579	7043	5100
580	7054	5087
581	7066	5075
582	7078	5063
583	7090	5050
584	7102	5038
