tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo
4,1852560.0,12,32,Empleado,3500000,1000000,128650,95.227787,795.0,0,2,0.0,0.0,,,0,0,0,916148.0,Creciente,1
4,3181080.0,6,34,Empleado,5000000,2000000,441817,95.227787,796.0,0,7,0.0,0.0,,,0,0,0,4473774.0,Creciente,1
9,670200.0,5,34,Independiente,5000000,2000000,108632,95.227787,727.0,5,0,0.0,274561.0,274561.0,,2,0,1,,,1
9,506806.8,2,25,Independiente,3000000,900000,199684,95.227787,864.0,8,1,0.0,27564.0,27564.0,,1,0,6,,,1
4,999780.0,10,26,Empleado,2000000,600000,92509,95.227787,771.0,0,3,0.0,0.0,,,0,0,0,61000.0,Creciente,1
9,465460.8,2,29,Independiente,3000000,1000000,183393,86.830187,678.0,7,2,0.0,4158.0,4158.0,,0,0,4,,,1
9,1084186.8,8,28,Independiente,3000000,1000000,112736,86.830187,665.0,2,1,0.0,6182.0,6182.0,,1,0,0,,,1
4,556680.0,6,30,Independiente,2000000,700000,82757,18.451409,738.0,0,4,0.0,0.0,,,0,0,0,955038.0,Creciente,0
9,4627576.8,10,33,Independiente,2000000,800000,392490,47.613894,769.0,0,2,0.0,0.0,,,0,0,0,,,0
4,2100000.0,8,26,Empleado,1200000,300000,237864,28.340846,785.0,0,1,0.0,0.0,,,0,0,0,1193037.0,Estable,0
9,2414886.0,10,29,Independiente,3000000,300000,204819,13.134355,747.0,2,2,172.0,1112.0,1112.0,,0,0,1,,,0
9,1017451.2,10,21,Independiente,1200000,700000,86522,95.227787,688.0,0,2,0.0,0.0,,,0,0,0,,,1
9,1008471.6,10,21,Empleado,1500000,800000,85534,91.99794,814.0,0,2,0.0,0.0,,,0,0,0,1774484.0,Creciente,1
9,1269000.0,5,22,Independiente,4000000,2000000,205691,53.364705,666.0,2,0,0.0,492.0,492.0,,1,0,1,,,0
9,3073137.6,10,20,Empleado,2000000,600000,260239,95.227787,758.0,3,1,0.0,1028.0,1028.0,,0,0,1,,,1
4,2653921.1999999997,18,28,Empleado,1600000,0,154766,95.227787,792.0,0,3,0.0,0.0,,,0,0,0,1091350.0,Creciente,1
4,1105920.0,12,27,Empleado,1700000,500000,86597,95.227787,756.0,0,3,0.0,0.0,,,0,0,0,1906578.0,Creciente,1
4,1439760.0,6,25,Empleado,1100000,500000,213698,95.227787,831.0,0,6,0.0,0.0,,,0,0,0,907700.0,Creciente,1
9,1185660.0,3,24,Independiente,4000000,2000000,314466,95.227787,679.0,2,3,0.0,6320.0,6320.0,,1,0,1,,,1
9,1890580.7999999998,10,36,Independiente,3900000,2000000,160350,95.227787,978.0,10,1,0.0,81809.0,81809.0,,3,0,2,,,1
