bin__tipo_laboral_Independiente,poly__tipo_credito_4.0,poly__tipo_credito_6.0,poly__tipo_credito_9.0,poly__tipo_credito_10.0,num__capital_prestado,num__plazo_meses,num__edad_cliente,num__total_otros_prestamos,num__cuota_pactada,num__puntaje_datacredito,num__cant_creditosvigentes,num__huella_consulta,num__saldo_mora,num__saldo_total,num__creditos_sectorCooperativo,num__creditos_sectorReal,num__promedio_ingresos_datacredito,Pago_atiempo
0.0,1.0,0.0,0.0,0.0,1852560.0,12.0,32.0,1000000.0,128650.0,795.0,0.0,2.0,0.0,0.0,0.0,0.0,916148.0,1
0.0,1.0,0.0,0.0,0.0,3181080.0,6.0,34.0,2000000.0,441817.0,796.0,0.0,7.0,0.0,0.0,0.0,0.0,4473774.0,1
1.0,0.0,0.0,1.0,0.0,670200.0,5.0,34.0,2000000.0,108632.0,727.0,5.0,0.0,0.0,274561.0,0.0,1.0,1250000.0,1
1.0,0.0,0.0,1.0,0.0,506806.8,2.0,25.0,900000.0,199684.0,864.0,8.0,1.0,0.0,27564.0,0.0,6.0,750000.0,1
0.0,1.0,0.0,0.0,0.0,999780.0,10.0,26.0,600000.0,92509.0,771.0,0.0,3.0,0.0,0.0,0.0,0.0,61000.0,1
1.0,0.0,0.0,1.0,0.0,465460.8,2.0,29.0,1000000.0,183393.0,678.0,7.0,2.0,0.0,4158.0,0.0,4.0,750000.0,1
1.0,0.0,0.0,1.0,0.0,1084186.8,8.0,28.0,1000000.0,112736.0,665.0,2.0,1.0,0.0,6182.0,0.0,0.0,750000.0,1
1.0,1.0,0.0,0.0,0.0,556680.0,6.0,30.0,700000.0,82757.0,738.0,0.0,4.0,0.0,0.0,0.0,0.0,955038.0,0
1.0,0.0,0.0,1.0,0.0,4627576.8,10.0,33.0,800000.0,392490.0,769.0,0.0,2.0,0.0,0.0,0.0,0.0,500000.0,0
0.0,1.0,0.0,0.0,0.0,2100000.0,8.0,26.0,300000.0,237864.0,785.0,0.0,1.0,0.0,0.0,0.0,0.0,1193037.0,0
1.0,0.0,0.0,1.0,0.0,2414886.0,10.0,29.0,300000.0,204819.0,747.0,2.0,2.0,172.0,1112.0,0.0,1.0,750000.0,0
1.0,0.0,0.0,1.0,0.0,1017451.2,10.0,21.0,700000.0,86522.0,688.0,0.0,2.0,0.0,0.0,0.0,0.0,300000.0,1
0.0,0.0,0.0,1.0,0.0,1008471.6,10.0,21.0,800000.0,85534.0,814.0,0.0,2.0,0.0,0.0,0.0,0.0,1774484.0,1
1.0,0.0,0.0,1.0,0.0,1269000.0,5.0,22.0,2000000.0,205691.0,666.0,2.0,0.0,0.0,492.0,0.0,1.0,1000000.0,0
0.0,0.0,0.0,1.0,0.0,3073137.6,10.0,20.0,600000.0,260239.0,758.0,3.0,1.0,0.0,1028.0,0.0,1.0,1440000.0,1
0.0,1.0,0.0,0.0,0.0,2653921.2,18.0,28.0,0.0,154766.0,792.0,0.0,3.0,0.0,0.0,0.0,0.0,1091350.0,1
0.0,1.0,0.0,0.0,0.0,1105920.0,12.0,27.0,500000.0,86597.0,756.0,0.0,3.0,0.0,0.0,0.0,0.0,1906578.0,1
0.0,1.0,0.0,0.0,0.0,1439760.0,6.0,25.0,500000.0,213698.0,831.0,0.0,6.0,0.0,0.0,0.0,0.0,907700.0,1
1.0,0.0,0.0,1.0,0.0,1185660.0,3.0,24.0,2000000.0,314466.0,679.0,2.0,3.0,0.0,6320.0,0.0,1.0,1000000.0,1
0.0,1.0,0.0,0.0,0.0,1384442.4,6.0,36.0,0.0,210870.0,801.0,0.0,1.0,0.0,0.0,0.0,0.0,2077150.0,1
0.0,0.0,0.0,1.0,0.0,648379.2,9.0,36.0,500000.0,60611.0,797.0,0.0,4.0,0.0,0.0,0.0,0.0,864000.0,1
0.0,0.0,0.0,1.0,0.0,1229468.4,10.0,36.0,0.0,107866.0,795.0,0.0,2.0,0.0,0.0,0.0,0.0,1094400.0,1
0.0,0.0,0.0,1.0,0.0,3325488.0,10.0,35.0,850000.0,282793.0,588.0,2.0,1.0,0.0,1672.0,0.0,2.0,1296000.0,1
0.0,1.0,0.0,0.0,0.0,1488000.0,6.0,35.0,100000.0,220908.0,777.0,0.0,2.0,0.0,0.0,0.0,0.0,998318.0,1
0.0,0.0,0.0,1.0,0.0,2201137.2,10.0,35.0,1300000.0,186984.0,718.0,0.0,2.0,0.0,0.0,0.0,0.0,1376649.0,1
0.0,0.0,0.0,1.0,0.0,2384874.0,10.0,24.0,500000.0,202274.0,744.0,3.0,3.0,0.0,76932.0,0.0,0.0,864000.0,1
0.0,1.0,0.0,0.0,0.0,1376510.4,12.0,34.0,200000.0,108055.0,777.0,0.0,3.0,0.0,0.0,0.0,0.0,648000.0,1
0.0,0.0,0.0,1.0,0.0,1630701.6,10.0,33.0,0.0,138091.0,845.0,3.0,0.0,0.0,0.0,0.0,0.0,720000.0,1
0.0,0.0,0.0,1.0,0.0,1770003.6,10.0,29.0,1200000.0,149887.0,947.0,10.0,1.0,0.0,44296.0,0.0,3.0,1764000.0,1
0.0,0.0,0.0,1.0,0.0,2588892.0,10.0,26.0,400000.0,219808.0,768.0,0.0,3.0,0.0,0.0,0.0,0.0,1085333.0,1
0.0,0.0,0.0,1.0,0.0,759547.2,9.0,24.0,1000000.0,71207.0,844.0,0.0,4.0,0.0,0.0,0.0,0.0,950105.0,1
1.0,0.0,0.0,1.0,0.0,878880.0,5.0,34.0,2000000.0,142457.0,795.0,10.0,1.0,0.0,324336.0,0.0,3.0,1000000.0,1
0.0,1.0,0.0,0.0,0.0,3116400.0,6.0,28.0,2000000.0,462237.0,811.0,9.0,7.0,0.0,119720.0,0.0,1.0,4320000.0,0
0.0,1.0,0.0,0.0,0.0,2799360.0,12.0,27.0,500000.0,194400.0,760.0,6.0,0.0,0.0,58014.0,0.0,3.0,2448000.0,1
1.0,0.0,0.0,1.0,0.0,878880.0,5.0,35.0,2000000.0,142457.0,779.0,5.0,0.0,0.0,16339.0,0.0,3.0,1250000.0,1
1.0,0.0,0.0,1.0,0.0,1084186.8,5.0,28.0,1500000.0,175581.0,798.0,6.0,1.0,0.0,142178.0,0.0,2.0,1000000.0,1
0.0,1.0,0.0,0.0,0.0,3072720.0,36.0,26.0,300000.0,105529.0,789.0,0.0,4.0,0.0,0.0,0.0,0.0,2049753.0,1
1.0,0.0,0.0,1.0,0.0,1183695.6,11.0,36.0,1300000.0,92095.0,767.0,13.0,1.0,0.0,255477.0,0.0,9.0,850000.0,1
0.0,0.0,0.0,1.0,0.0,919675.2,10.0,36.0,800000.0,78003.0,895.0,5.0,0.0,0.0,3389.0,0.0,4.0,1080000.0,1
0.0,0.0,0.0,1.0,0.0,2476333.2,9.0,34.0,1455555.0,231268.0,925.0,6.0,0.0,0.0,270.0,0.0,3.0,2343999.6,1
0.0,0.0,0.0,1.0,0.0,1062100.8,10.0,32.0,1400000.0,89941.0,781.0,4.0,0.0,0.0,22438.0,0.0,1.0,1440000.0,1
0.0,0.0,0.0,1.0,0.0,907458.0,10.0,33.0,600000.0,76966.0,734.0,9.0,2.0,0.0,9135.0,0.0,6.0,1080000.0,1
1.0,0.0,0.0,1.0,0.0,3432477.6,10.0,31.0,2300000.0,290669.0,729.0,4.0,2.0,0.0,5566.0,0.0,2.0,750000.0,1
0.0,0.0,0.0,1.0,0.0,1130935.2,9.0,31.0,1500000.0,105974.0,795.0,0.0,2.0,0.0,0.0,0.0,0.0,2760576.0,1
0.0,0.0,0.0,1.0,0.0,2134839.6,11.0,31.0,1200000.0,166096.0,790.0,3.0,0.0,0.0,5160.0,0.0,1.0,1800000.0,1
0.0,0.0,0.0,1.0,0.0,929595.6,10.0,30.0,800000.0,78844.0,749.0,1.0,0.0,0.0,0.0,0.0,1.0,1080000.0,1
0.0,1.0,0.0,0.0,0.0,2421600.0,12.0,29.0,500000.0,190566.0,791.0,0.0,3.0,0.0,0.0,0.0,0.0,905949.0,1
0.0,0.0,0.0,1.0,0.0,1055065.2,10.0,29.0,800000.0,89486.0,743.0,6.0,0.0,0.0,6897.0,0.0,2.0,1440000.0,1
0.0,0.0,0.0,1.0,0.0,1047398.4,10.0,27.0,600000.0,88975.0,692.0,0.0,2.0,0.0,0.0,0.0,0.0,1848597.0,1
0.0,1.0,0.0,0.0,0.0,3600000.0,12.0,25.0,350000.0,282635.0,775.0,0.0,3.0,0.0,0.0,0.0,0.0,1530220.0,1
1.0,0.0,0.0,1.0,0.0,2513113.2,10.0,24.0,700000.0,213934.0,761.0,0.0,1.0,0.0,0.0,0.0,0.0,1155008.0,1
0.0,0.0,0.0,1.0,0.0,1245224.4,10.0,23.0,700000.0,105614.0,685.0,4.0,1.0,0.0,11151.0,0.0,0.0,1008000.0,1
0.0,1.0,0.0,0.0,0.0,720000.0,6.0,23.0,0.0,109666.0,751.0,0.0,1.0,0.0,0.0,0.0,0.0,1051200.0,1
1.0,0.0,0.0,1.0,0.0,1793216.4,9.0,22.0,600000.0,167631.0,744.0,0.0,2.0,0.0,0.0,0.0,0.0,300000.0,1
0.0,1.0,0.0,0.0,0.0,784264.7999999999,6.0,31.0,350000.0,116405.0,777.0,0.0,6.0,0.0,0.0,0.0,0.0,936000.0,1
0.0,1.0,0.0,0.0,0.0,3230529.6,18.0,31.0,1000000.0,179254.0,795.0,0.0,3.0,0.0,0.0,0.0,0.0,3261174.0,1
1.0,1.0,0.0,0.0,0.0,2040960.0,6.0,36.0,1200000.0,304149.0,805.0,0.0,6.0,0.0,0.0,0.0,0.0,762152.0,0
0.0,1.0,0.0,0.0,0.0,840000.0,6.0,31.0,0.0,127303.0,797.0,0.0,3.0,0.0,0.0,0.0,0.0,1349153.0,1
0.0,1.0,0.0,0.0,0.0,912000.0,12.0,32.0,500000.0,71557.0,754.0,0.0,3.0,0.0,0.0,0.0,0.0,910801.0,1
0.0,1.0,0.0,0.0,0.0,2524080.0,6.0,35.0,300000.0,376169.0,796.0,0.0,4.0,0.0,0.0,0.0,0.0,1977317.0,1
0.0,0.0,0.0,1.0,0.0,2589963.6,10.0,36.0,1800000.0,219323.0,764.0,3.0,0.0,0.0,36741.0,0.0,2.0,1800000.0,1
1.0,0.0,0.0,1.0,0.0,3363643.2,10.0,33.0,1150000.0,285289.0,723.0,4.0,1.0,0.0,66591.0,0.0,3.0,1250000.0,1
0.0,0.0,0.0,1.0,0.0,1035255.6,10.0,26.0,1500000.0,88128.0,684.0,0.0,3.0,0.0,0.0,0.0,0.0,881581.0,1
0.0,1.0,0.0,0.0,0.0,1059600.0,12.0,31.0,400000.0,83178.0,757.0,0.0,4.0,0.0,0.0,0.0,0.0,1212517.0,1
0.0,0.0,0.0,1.0,0.0,1175266.8,10.0,28.0,800000.0,99681.0,770.0,0.0,2.0,0.0,0.0,0.0,0.0,1560292.0,1
0.0,1.0,0.0,0.0,0.0,3942000.0,30.0,26.0,400000.0,145018.0,792.0,0.0,3.0,0.0,0.0,0.0,0.0,1575989.0,1
0.0,1.0,0.0,0.0,0.0,742200.0,12.0,23.0,150000.0,58839.0,746.0,0.0,2.0,0.0,0.0,0.0,0.0,798351.0,1
0.0,0.0,0.0,1.0,0.0,1596874.8,3.0,36.0,2000000.0,423530.0,710.0,4.0,0.0,0.0,30389.0,0.0,3.0,2880000.0,1
1.0,0.0,0.0,1.0,0.0,1488721.2,10.0,35.0,1500000.0,126266.0,806.0,3.0,0.0,0.0,10480.0,0.0,0.0,750000.0,1
0.0,0.0,0.0,1.0,0.0,2302556.4,10.0,33.0,1000000.0,195292.0,823.0,5.0,3.0,0.0,42103.0,0.0,3.0,2520000.0,1
