Modelo,Resampling,CV_Score_final,Recall_mora,Precision_mora,F1_mora,Accuracy,F1_weighted,Best_params,Best_threshold
Voting,none,0.03428571428571429,0.3466666666666667,0.13333333333333333,0.1925925925925926,0.8627636134718287,0.8904280518982162,,0.93
LightGBM,smotetomek,0.46571428571428564,0.32666666666666666,0.12661498708010335,0.1824953445065177,0.8618193264085615,0.8894967862178763,"{'clf__learning_rate': 0.05, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.29
XGBoost,smoteenn,0.9371428571428572,0.32666666666666666,0.11864406779661017,0.17406749555950266,0.8536355051935789,0.8844982899516106,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.08
RandomForest,smoteenn,0.10571428571428572,0.28,0.13003095975232198,0.17758985200845667,0.8775574441296821,0.8981482268940032,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__n_estimators': 200}",0.71
RandomForest,smotetomek,0.03428571428571429,0.26,0.16317991631799164,0.20051413881748073,0.9021089077746302,0.9125769604883245,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 200}",0.75
LightGBM,smoteenn,0.4885714285714286,0.24666666666666667,0.12457912457912458,0.16554809843400448,0.8825936418004406,0.9004378427272843,"{'clf__learning_rate': 0.05, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.23
XGBoost,smote,0.9228571428571428,0.23333333333333334,0.12727272727272726,0.16470588235294117,0.888259364180044,0.9035139071431724,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.09
XGBoost,smotetomek,0.9314285714285713,0.2,0.1507537688442211,0.17191977077363896,0.9090336795719232,0.9150484308676959,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.08
RandomForest,smote,0.037142857142857144,0.18,0.19148936170212766,0.18556701030927836,0.9254013220018886,0.9243031018459865,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__n_estimators': 200}",0.72
LogisticRegression,smoteenn,0.49714285714285716,0.16666666666666666,0.16233766233766234,0.16447368421052633,0.9200503619767075,0.9205499168049827,"{'clf__C': 1, 'clf__solver': 'lbfgs'}",0.25
LogisticRegression,smotetomek,0.49428571428571433,0.16666666666666666,0.16891891891891891,0.16778523489932887,0.9219389361032421,0.9216898760962395,"{'clf__C': 0.1, 'clf__solver': 'lbfgs'}",0.27
LogisticRegression,smote,0.5228571428571428,0.16666666666666666,0.17006802721088435,0.16835016835016836,0.9222536984576645,0.9218802940346295,"{'clf__C': 1, 'clf__solver': 'lbfgs'}",0.27
LightGBM,smote,0.4742857142857143,0.15333333333333332,0.25,0.19008264462809918,0.9383065785332074,0.9312062859666994,"{'clf__learning_rate': 0.05, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.15
